vmstat output:
Run 1: -r 10000 -c 10000 -i r -s n:
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 365964   2256     44    260 25964 26552 29044 26552 1678 4695  5  8  0 87  0
 2  0 363972   1764     44   2624 22224 19048 27048 19048 1552 4081  3  7  0 90  0
 0  1 370560   2388     44    792 20732 25736 22444 25736 1425 3889  3  5  0 91  0
 0  1 369476   2796     44    872 22908 20268 24388 20268 1563 4326  4  4  0 91  0
 0  1 368360   3196     44    524 27968 26044 29424 26044 1934 5315  4  8  0 87  0
End of run 9.
 0  0  22116  52916    800   5100 11212 3764 16772  3764 1028 2724  3  3 34 60  0
 0  0  21960  51240    800   6532  244    0  1544     0   87  215  0  0 98  2  0
Run 10: -r 100 -c 1000000 -i c -s n:
 2  0  31464   1672     44    408   48 9504  3768  9504  264  347 28  7 64  1  0
 2  0 180668   6952     44    836  136 149248  3044 149248  978 2078 51 20  0 29  0
 2  0 288680   1972     44    208  136 112040  3984 112040  641 1722 46 17  0 37  0
 0  2  22604  57144     52   1488 1100 75668 12528 75668  724 1794 38 18  0 44  0
End of run 10.
 0  0  21860  50292    808   7144  944    0  6780     0  262  535  0  3 89  8  0
 0  0  21848  50292    808   7144    4    0     4     0   13   23  0  0 100  0  0
Run 11: -r 100 -c 1000000 -i c -s r:
 2  0 103792   1824     44    288   84 82008  2148 82008  721 1379 59 18  8 15  0
 2  1 243880   2428     44    396  236 141528  8540 141528  949 2333 62 24  0 14  0
 1  2 365412   1624     44    636  528 125620 17672 125620 1142 2291 43 36  0 21  0
 0  1 362256   1716     44   1408 8812 1488  9760  1488 2604 7297  0  1  0 99  0
 2  1 369852   2040     44   1408 7468 14560  7560 14560 2206 6199  0  8  0 92  0
 2  1 360868   2100     44   1408 8780    0  8780     0 2524 7184  0  2  0 98  0
 2  1 359252   1716     44    472 8168 6588  8712  6588 2356 6744  0  5  0 95  0
 0  2 360560   2064     44   1452 7932 9224 10848  9224 2356 6565  0  7  0 93  0
 2  1 360368   1780     64   2740 7256 7172  8432  7172 2198 6009  0  3  0 97  0
 2  1 366436   1800     44   1852 7428 13488  7428 13488 2231 6140  0  5  0 95  0
 2  1 360208   1732     44   1032 8672 2408  9008  2408 2499 7058  0  1  0 99  0
 0  1 364620   2100     44    948 7588 12004  7588 12004 2247 6232  0  3  0 97  0
 0  1 361200   1960     44    636 8436 4948  8436  4948 2428 6860  1  3  0 95  0
 2  1 369224   1900     44   2500 6664 14688  9180 14688 2088 5639  0  5  0 95  0
 0  1 360916   1868     44   2504 8548  240  8548   240 2444 7029  0  2  0 98  0
 2  1 362024   2172     44   2444 6896 8004  6896  8004 2117 5752  0  2  0 98  0
 0  1 365920   2108     44    588 7608 11476  9244 11476 2383 6325  0  3  0 97  0
 0  2 358772   1760     44    628 8988 15972 14788 15972 2496 6920  0  3  0 97  0
 0  1 364696   1760     48   2908 8260    0  8916     0 2813 7259  0  7  0 93  0
 2  1 367352   3448     44   2324 8120 10864  8120 10864 2672 6653  1  6  0 93  0
 4  1 360348   1496     44   1588 8264 1260  8264  1260 2534 6777  0  1  0 99  0
 2  1 364140   1796     44   1264 7736 11528  7736 11528 2629 6426  0  9  0 91  0
 2  1 360472   2116     44   1244 7436 3768  7736  3768 2450 6173  0  2  0 98  0
 1  1 371448   3668     44   1040 7648 18596 12132 18596 2830 6488  0 10  0 90  0
 2  1 363384   2276     44   1556 8452  416  8608   416 2538 6959  0  1  0 99  0
 0  1 361216   1952     44   1508 8452 6284  8452  6284 2791 6993  0  6  0 94  0
 2  1 358276   1744     44    756 7584 5908  7832  5908 2563 6308  0  5  0 95  0
 1  2 369316   3348     44   1700 6816 16596 10724 16596 2644 5834  1  9  0 90  0
 2  1 361136   1944     44   2772 8360  192  9128   192 2426 6866  0  1  0 99  0
 2  1 360544   2024     44   2444 7812 7220  7812  7220 2821 6526  0  6  0 94  0
 2  1 359984   2060     44    296 6788 9976  8328  9976 2699 5776  0  6  0 94  0
 5  1 359728   1416     44   1532 8012 4012  8792  4012 3099 6708  0  9  0 91  0
 0  1 364376   1896     44   2832 7592 12228 11076 12228 2528 6330  1  8  0 91  0
 2  1 361252   1920     44   2684 7760 4640  7760  4640 2477 6425  1  3  0 95  0
 2  1 362908   2128     44   2460 7420 9072  7420  9072 2997 6219  0 10  0 90  0
 2  1 360888   1924     44   1756 7792 5748  7792  5748 3111 6438  1  6  0 93  0
 0  1 360472   1752     44    760 7764 7304  9484  7304 2952 6492  0  7  0 93  0
 1  2 366908   1896     44   1272 5212 11396  9700 11396 2023 4286  1  6  0 92  0
 2  1 361724   2820     44   2704 7512 2252  9328  2252 2356 6145  0  1  0 99  0
 0  1 361376   2404     44   2680 7872 7504  7872  7504 3152 6509  0 10  0 90  0
 2  1 361964   2008     44   2300 7756 8320  7756  8320 2569 6330  1  5  0 94  0
 1  1 358056   1888     44    672 8316 5148  9088  5148 2844 6907  0  8  0 92  0
 2  1 359748   1944     44   1040 7180 8132  7616  8132 2849 6078  0  9  0 91  0
 2  2 361040   2316     44   2340 6828 8120  8612  8120 2685 5858  1 10  0 89  0
 2  2 359700   1728     44    892 7308 5968  7308  5968 3101 6110  0  9  0 91  0
 2  1 360044   2176     44    876 6784 7128  6784  7128 2814 5738  0  9  0 91  0
